mTitle,mLink
Chutney Popcorn,https://en.wikipedia.org/wiki/Chutney_Popcorn
Ci qing,https://en.wikipedia.org/wiki/Spider_Lilies_(film)
Ciao,https://en.wikipedia.org/wiki/Ciao_(film)
Ciao Bella,https://en.wikipedia.org/wiki/Ciao_Bella_(film)
Cibrâil,NA
The Circle,https://en.wikipedia.org/wiki/The_Circle_(2014_film)
Circles,NA
Circuit,https://en.wikipedia.org/wiki/Circuit_(film)
Circumstance,https://en.wikipedia.org/wiki/Circumstance_(2011_film)
Citizens of Perpetual Indulgence,NA
City of Lost Souls,https://en.wikipedia.org/wiki/City_of_Lost_Souls_(1983_film)
City Without Baseball,https://en.wikipedia.org/wiki/City_Without_Baseball
Claire,https://en.wikipedia.org/wiki/Claire_(film)
Claire of the Moon,https://en.wikipedia.org/wiki/Claire_of_the_Moon
Clancy's Kitchen,https://en.wikipedia.org/wiki/Clancy%27s_Kitchen
Clapham Junction,https://en.wikipedia.org/wiki/Clapham_Junction_(film)
Close to Leo,https://en.wikipedia.org/wiki/Close_to_Leo
The Closet,https://en.wikipedia.org/wiki/The_Closet_(2001_film)
Closet Monster,https://en.wikipedia.org/wiki/Closet_Monster_(film)
Closets,NA
Cloud Atlas,https://en.wikipedia.org/wiki/Cloud_Atlas_(film)
Cloudburst,https://en.wikipedia.org/wiki/Cloudburst_(2011_film)
Clueless,https://en.wikipedia.org/wiki/Clueless_(film)
The Cockettes,https://en.wikipedia.org/wiki/The_Cockettes_(film)
Cockles and Muscles,https://en.wikipedia.org/wiki/Crustac%C3%A9s_et_Coquillages
Coffee at Laundromat,NA
Coffee Date,https://en.wikipedia.org/wiki/Coffee_Date
C.O.G.,https://en.wikipedia.org/wiki/C.O.G.
Coklat Stroberi,https://en.wikipedia.org/wiki/Coklat_Stroberi
Cold Showers,https://en.wikipedia.org/wiki/Cold_Showers
Colma: The Musical,https://en.wikipedia.org/wiki/Colma:_The_Musical
Colonel Redl,https://en.wikipedia.org/wiki/Colonel_Redl
The Colonel's Outing,NA
Colonial Gods,NA
The Color of Fame,https://en.wikipedia.org/wiki/The_Color_of_Fame
Color of Night,https://en.wikipedia.org/wiki/Color_of_Night
The Color Purple,https://en.wikipedia.org/wiki/The_Color_Purple_(1985_film)
Colour Blossoms,https://en.wikipedia.org/wiki/Colour_Blossoms
Colour Me Kubrick,https://en.wikipedia.org/wiki/Colour_Me_Kubrick
"Come Back to the Five and Dime, Jimmy Dean, Jimmy Dean","https://en.wikipedia.org/wiki/Come_Back_to_the_Five_and_Dime,_Jimmy_Dean,_Jimmy_Dean_(film)"
Come non detto,https://en.wikipedia.org/wiki/Come_non_detto
Come Undone,https://en.wikipedia.org/wiki/Presque_rien
Coming Out,https://en.wikipedia.org/wiki/Coming_Out_(1989_film)
Coming Out,https://en.wikipedia.org/wiki/Coming_Out_(2013_film)
Coming Out Under Fire,https://en.wikipedia.org/wiki/Coming_Out_Under_Fire
Comme les autres,NA
Comme un boomerang,NA
Comme un frère,NA
Common Ground,https://en.wikipedia.org/wiki/Common_Ground_(2000_film)
Common Threads: Stories from the Quilt,https://en.wikipedia.org/wiki/Common_Threads:_Stories_from_the_Quilt
Communication,NA
Como Esquecer,https://en.wikipedia.org/wiki/Como_Esquecer
Comolot,NA
Concussion,https://en.wikipedia.org/wiki/Concussion_(2013_film)
Condo,NA
The Conformist,https://en.wikipedia.org/wiki/The_Conformist_(film)
Confused Feelings,https://en.wikipedia.org/wiki/Confused_Feelings
Connie and Carla,https://en.wikipedia.org/wiki/Connie_and_Carla
The Conrad Boys,https://en.wikipedia.org/wiki/The_Conrad_Boys
Consenting Adult,https://en.wikipedia.org/wiki/Consenting_Adult_(film)
The Consul of Sodom,https://en.wikipedia.org/wiki/El_c%C3%B3nsul_de_Sodoma
Contact,https://en.wikipedia.org/wiki/Contact_(short_film)
Contadora Is for Lovers,NA
Continental,https://en.wikipedia.org/wiki/Continental_(2013_film)
Contracorriente,https://en.wikipedia.org/wiki/Undertow_(2009_film)
Contradictions,NA
Conversation Piece,https://en.wikipedia.org/wiki/Conversation_Piece_(film)
Copycat,https://en.wikipedia.org/wiki/Copycat_(film)
The Cost of Love,https://en.wikipedia.org/wiki/The_Cost_of_Love
Costa Brava,NA
Côte d'Azur,https://en.wikipedia.org/wiki/Crustac%C3%A9s_et_Coquillages
The Country Teacher,https://en.wikipedia.org/wiki/The_Country_Teacher
Cowboy,NA
Cowboy Forever,NA
Cowboy Junction,NA
Cowboys & Angels,https://en.wikipedia.org/wiki/Cowboys_%26_Angels
Cracks,https://en.wikipedia.org/wiki/Cracks_(film)
Cradle Will Rock,https://en.wikipedia.org/wiki/Cradle_Will_Rock
Crash,https://en.wikipedia.org/wiki/Crash_(1996_film)
C.R.A.Z.Y.,https://en.wikipedia.org/wiki/C.R.A.Z.Y.
Criminal Lovers,https://en.wikipedia.org/wiki/Criminal_Lovers
CrossRoad,NA
Crossing,https://en.wikipedia.org/wiki/Crossing_(2005_film)
Cruel Intentions,https://en.wikipedia.org/wiki/Cruel_Intentions
Cruise Patrol,NA
Cruising,https://en.wikipedia.org/wiki/Cruising_(film)
Crutch,https://en.wikipedia.org/wiki/Crutch_(film)
Crush,https://en.wikipedia.org/wiki/Crush_(1992_film)
The Crying Game,https://en.wikipedia.org/wiki/The_Crying_Game
Cthulhu,https://en.wikipedia.org/wiki/Cthulhu_(2007_film)
Cuatro Lunas,https://en.wikipedia.org/wiki/Four_Moons
Cul-de-sac,https://en.wikipedia.org/wiki/Cul-de-sac_(2010_film)
The Curiosity of Chance,https://en.wikipedia.org/wiki/The_Curiosity_of_Chance
Curious Thing,NA
Curse of the Queerwolf,https://en.wikipedia.org/wiki/Curse_of_the_Queerwolf
Cursed,https://en.wikipedia.org/wiki/Cursed_(2005_film)
Cut Sleeve Boys,NA
The D Train,https://en.wikipedia.org/wiki/The_D_Train
Daddy & Papa,https://en.wikipedia.org/wiki/Daddy_%26_Papa
D'Agostino,NA
Dahmer,https://en.wikipedia.org/wiki/Dahmer_(film)
Dakan,https://en.wikipedia.org/wiki/Dakan
Dallas Buyers Club,https://en.wikipedia.org/wiki/Dallas_Buyers_Club
The Damned,https://en.wikipedia.org/wiki/The_Damned_(1969_film)
Dangerous Living: Coming Out in the Developing World,https://en.wikipedia.org/wiki/Dangerous_Living:_Coming_Out_in_the_Developing_World
Daniel endormi,NA
The Danish Girl,https://en.wikipedia.org/wiki/The_Danish_Girl_(film)
Daphne,NA
Dare,NA
Dare,https://en.wikipedia.org/wiki/Dare_(film)
The Dark Place,https://en.wikipedia.org/wiki/The_Dark_Place
The Dark Side of Tomorrow,https://en.wikipedia.org/wiki/The_Dark_Side_of_Tomorrow
DarkBlueAlmostBlack,https://en.wikipedia.org/wiki/Azuloscurocasinegro
Darmiyaan: In Between,https://en.wikipedia.org/wiki/Darmiyaan:_In_Between
Das Tagebuch einer Verlorenen,https://en.wikipedia.org/wiki/Diary_of_a_Lost_Girl
Dasepo Naughty Girls,https://en.wikipedia.org/wiki/Dasepo_Naughty_Girls
Date and Switch,https://en.wikipedia.org/wiki/Date_and_Switch
A Date for Mad Mary,https://en.wikipedia.org/wiki/A_Date_for_Mad_Mary
Daughters of the Sun,https://en.wikipedia.org/wiki/Daughters_of_the_Sun
David,NA
David's Birthday,https://en.wikipedia.org/wiki/David%27s_Birthday
David Searching,NA
Dawn,NA
Daybreak,https://en.wikipedia.org/wiki/Daybreak_(2008_film)
Days,NA
The Days of Being Dumb,https://en.wikipedia.org/wiki/The_Days_of_Being_Dumb
Deb and Sisi,https://en.wikipedia.org/wiki/Deb_and_Sisi
D.E.B.S.,https://en.wikipedia.org/wiki/D.E.B.S._(2003_film)
D.E.B.S.,https://en.wikipedia.org/wiki/D.E.B.S._(2004_film)
Dead Boyz Don't Scream,https://en.wikipedia.org/wiki/Dead_Boyz_Don%27t_Scream
Dead Poets Society,https://en.wikipedia.org/wiki/Dead_Poets_Society
Deadly Skies,https://en.wikipedia.org/wiki/Deadly_Skies
Dear Boys,NA
Dear Jesse,https://en.wikipedia.org/wiki/Dear_Jesse
Death at a Funeral,https://en.wikipedia.org/wiki/Death_at_a_Funeral_(2010_film)
Death in Venice,https://en.wikipedia.org/wiki/Death_in_Venice_(film)
The Death of Mikel,https://en.wikipedia.org/wiki/La_Muerte_de_Mikel
Deathtrap,https://en.wikipedia.org/wiki/Deathtrap_(film)
Dedicato al mare Egeo,NA
Deep End,NA
The Deep End,https://en.wikipedia.org/wiki/The_Deep_End_(film)
The Deep Red,NA
Défense d'aimer,NA
Deflated,NA
Defying Gravity,https://en.wikipedia.org/wiki/Defying_Gravity_(1997_film)
Deliverance,https://en.wikipedia.org/wiki/Deliverance
De-Lovely,https://en.wikipedia.org/wiki/De-Lovely
Delphinium: A Childhood Portrait of Derek Jarman,https://en.wikipedia.org/wiki/Delphinium:_A_Childhood_Portrait_of_Derek_Jarman
The Delta,https://en.wikipedia.org/wiki/The_Delta_(film)
Denied,NA
Der bewegte Mann,https://en.wikipedia.org/wiki/Der_bewegte_Mann
Der Einstein des Sex,https://en.wikipedia.org/wiki/Der_Einstein_des_Sex
Der junge Törless,https://en.wikipedia.org/wiki/Young_T%C3%B6rless
Der Kreis,https://en.wikipedia.org/wiki/The_Circle_(2014_film)
Der Schuh des Manitu,https://en.wikipedia.org/wiki/Der_Schuh_des_Manitu
Der Spalt,https://en.wikipedia.org/wiki/Der_Spalt
Des parents pas comme les autres,NA
Descongélate!,NA
Desde allá,https://en.wikipedia.org/wiki/From_Afar_(film)
Desert Hearts,https://en.wikipedia.org/wiki/Desert_Hearts
Desire Street,https://en.wikipedia.org/wiki/Desire_Street_(film)
Desperate Living,https://en.wikipedia.org/wiki/Desperate_Living
Desperate Remedies,https://en.wikipedia.org/wiki/Desperate_Remedies_(film)
Destricted,https://en.wikipedia.org/wiki/Destricted
The Detective,https://en.wikipedia.org/wiki/The_Detective_(1968_film)
Diana,NA
Diary of a Lost Girl,https://en.wikipedia.org/wiki/Diary_of_a_Lost_Girl
The Dickson Experimental Sound Film,https://en.wikipedia.org/wiki/The_Dickson_Experimental_Sound_Film
Die Büchse der Pandora,https://en.wikipedia.org/wiki/Pandora%27s_Box_(1929_film)
Die Konsequenz,https://en.wikipedia.org/wiki/Die_Konsequenz
Die Mitte der Welt,https://en.wikipedia.org/wiki/Center_of_My_World
"Die, Mommie, Die!","https://en.wikipedia.org/wiki/Die,_Mommie,_Die!"
Diferente,NA
Different for Girls,https://en.wikipedia.org/wiki/Different_for_Girls
Different from the Others,https://en.wikipedia.org/wiki/Different_from_the_Others
Different from Whom?,https://en.wikipedia.org/wiki/Different_from_Whom%3F
Different from You and Me,https://en.wikipedia.org/wiki/Different_from_You_and_Me
A Different Story,https://en.wikipedia.org/wiki/A_Different_Story
Different Strokes,https://en.wikipedia.org/wiki/Different_Strokes_(film)
Dim Sum Funeral,https://en.wikipedia.org/wiki/Dim_Sum_Funeral
The Deputy,https://en.wikipedia.org/wiki/El_diputado
Dirty Girl,https://en.wikipedia.org/wiki/Dirty_Girl_(2010_film)
Dirty Laundry,https://en.wikipedia.org/wiki/Dirty_Laundry_(2006_film)
Dish,NA
[3],NA
Diverso da chi?,https://en.wikipedia.org/wiki/Different_from_Whom%3F
Do Começo ao Fim,https://en.wikipedia.org/wiki/From_Beginning_to_End
Do Lado de Fora,https://en.wikipedia.org/wiki/Do_Lado_de_Fora
Dog Day Afternoon,https://en.wikipedia.org/wiki/Dog_Day_Afternoon
Dog Tags,https://en.wikipedia.org/wiki/Dog_Tags_(film)
Do I Love You?,NA
"Do Paise Ki Dhoop, Chaar Aane Ki Baarish","https://en.wikipedia.org/wiki/Do_Paise_Ki_Dhoop,_Chaar_Aane_Ki_Baarish"
Do-Nut,NA
The Doctor's Wife,NA
Doing Time on Maple Drive,https://en.wikipedia.org/wiki/Doing_Time_on_Maple_Drive
"Don Juan, or If Don Juan Were a Woman","https://en.wikipedia.org/wiki/Don_Juan,_or_If_Don_Juan_Were_a_Woman"
Doña Herlinda y su hijo,NA
Donne-moi la main,https://en.wikipedia.org/wiki/Give_Me_Your_Hand_(film)
Don't Tell Anyone,https://en.wikipedia.org/wiki/Don%27t_Tell_Anyone
The Doom Generation,https://en.wikipedia.org/wiki/The_Doom_Generation
Dorian Blues,https://en.wikipedia.org/wiki/Dorian_Blues
Dorian Gray,https://en.wikipedia.org/wiki/Dorian_Gray_(2009_film)
Dostana,https://en.wikipedia.org/wiki/Dostana_(2008_film)
Doubt,https://en.wikipedia.org/wiki/Doubt_(2003_film)
Down the River,NA
Downing,NA
Dream Boy,https://en.wikipedia.org/wiki/Dream_Boy_(film)
Dream for an Insomniac,https://en.wikipedia.org/wiki/Dream_for_an_Insomniac
Dream Kitchen,https://en.wikipedia.org/wiki/Dream_Kitchen
Dream On,NA
The Dreamers,https://en.wikipedia.org/wiki/The_Dreamers_(film)
Dressed to Kill,https://en.wikipedia.org/wiki/Dressed_to_Kill_(1980_film)
The Dresser,https://en.wikipedia.org/wiki/The_Dresser_(1983_film)
Drift,NA
Drifting,https://en.wikipedia.org/wiki/Drifting_(1983_film)
Drifting Flowers,https://en.wikipedia.org/wiki/Drifting_Flowers
Drôle de Félix,https://en.wikipedia.org/wiki/Dr%C3%B4le_de_F%C3%A9lix
Drool,https://en.wikipedia.org/wiki/Drool_(film)
Drowning,NA
Du er ikke alene,https://en.wikipedia.org/wiki/You_Are_Not_Alone_(film)
Duda,https://en.wikipedia.org/wiki/Doubt_(2003_film)
The Duke of Burgundy,https://en.wikipedia.org/wiki/The_Duke_of_Burgundy
D'une rive à l'autre,NA
Dunno Y... Na Jaane Kyon,https://en.wikipedia.org/wiki/Dunno_Y..._Na_Jaane_Kyon
The Dying Gaul,https://en.wikipedia.org/wiki/The_Dying_Gaul_(film)
The Dying Inmate,NA
An Early Frost,https://en.wikipedia.org/wiki/An_Early_Frost
An Early Frost,NA
"East Palace, West Palace","https://en.wikipedia.org/wiki/East_Palace,_West_Palace"
East Side Story,https://en.wikipedia.org/wiki/East_Side_Story_(2006_film)
Eastern Boys,https://en.wikipedia.org/wiki/Eastern_Boys
Easy A,https://en.wikipedia.org/wiki/Easy_A
Easy Money,NA
Eat with Me,NA
Eating Out,https://en.wikipedia.org/wiki/Eating_Out
Eating Out 2: Sloppy Seconds,https://en.wikipedia.org/wiki/Eating_Out_2:_Sloppy_Seconds
Eating Out 3: All You Can Eat,https://en.wikipedia.org/wiki/Eating_Out_3:_All_You_Can_Eat
Eating Out 4: Drama Camp,https://en.wikipedia.org/wiki/Eating_Out_4:_Drama_Camp
Eating Out 5: The Open Weekend,https://en.wikipedia.org/wiki/Eating_Out_5:_The_Open_Weekend
Eban and Charley,https://en.wikipedia.org/wiki/Eban_and_Charley
Echte Kerle,NA
The Eclipse: Courtship of the Sun and Moon,https://en.wikipedia.org/wiki/The_Eclipse:_Courtship_of_the_Sun_and_Moon
eCupid,https://en.wikipedia.org/wiki/ECupid
The Edge of Heaven,https://en.wikipedia.org/wiki/The_Edge_of_Heaven_(film)
Edge of Seventeen,https://en.wikipedia.org/wiki/Edge_of_Seventeen_(film)
Edward II,https://en.wikipedia.org/wiki/Edward_II_(film)
Ed Wood,https://en.wikipedia.org/wiki/Ed_Wood_(film)
Een Vrouw als Eva,https://en.wikipedia.org/wiki/A_Woman_Like_Eve
Efren's Paradise,https://en.wikipedia.org/wiki/Sa_Paraiso_ni_Efren
Eighteen,https://en.wikipedia.org/wiki/Eighteen_(film)
Eko Eko Azarak,https://en.wikipedia.org/wiki/Eko_Eko_Azarak_(manga)
Ekaj,https://en.wikipedia.org/wiki/Ekaj
[4],NA
El cónsul de Sodoma,https://en.wikipedia.org/wiki/El_c%C3%B3nsul_de_Sodoma
El diputado,https://en.wikipedia.org/wiki/El_diputado
El Favor,NA
El hombre de la mandolina,NA
El mar,https://en.wikipedia.org/wiki/The_Sea_(2000_film)
Elena Undone,https://en.wikipedia.org/wiki/Elena_Undone
Elephant,https://en.wikipedia.org/wiki/Elephant_(2003_film)
Eleven Men Out,https://en.wikipedia.org/wiki/Eleven_Men_Out
Elle ou lui,NA
Elliot Loves,NA
Eloïse's Lover,https://en.wikipedia.org/wiki/Elo%C3%AFse%27s_Lover
Embrasser les tigres,NA
Embrassez qui vous voudrez,https://en.wikipedia.org/wiki/Embrassez_qui_vous_voudrez
Emporte-moi,https://en.wikipedia.org/wiki/Set_Me_Free_(1999_film)
En kort en lang,https://en.wikipedia.org/wiki/Shake_It_All_About_(film)
En la Gama de los Grises,https://en.wikipedia.org/wiki/In_the_Grayscale
En malas compañías,https://en.wikipedia.org/wiki/En_malas_compa%C3%B1%C3%ADas
En Soap,https://en.wikipedia.org/wiki/En_Soap
End of Love,NA
The Endless Possibility of Sky,NA
Enduring Love,https://en.wikipedia.org/wiki/Enduring_Love_(film)
An Englishman Abroad,https://en.wikipedia.org/wiki/An_Englishman_Abroad
An Englishman in New York,https://en.wikipedia.org/wiki/An_Englishman_in_New_York_(film)
Entertaining Mr. Sloane,https://en.wikipedia.org/wiki/Entertaining_Mr_Sloane_(film)
Enter the Clowns,NA
Enter the Phoenix,https://en.wikipedia.org/wiki/Enter_the_Phoenix
Entre Nous,https://en.wikipedia.org/wiki/Entre_Nous_(film)
Entre tinieblas,https://en.wikipedia.org/wiki/Dark_Habits
Ernest and Bertram,https://en.wikipedia.org/wiki/Ernest_and_Bertram
Ernesto,https://en.wikipedia.org/wiki/Ernesto_(film)
Eternal Summer,https://en.wikipedia.org/wiki/Eternal_Summer_(2006_film)
Ethan Mao,https://en.wikipedia.org/wiki/Ethan_Mao
Eulogy,https://en.wikipedia.org/wiki/Eulogy_(film)
Europa Europa,https://en.wikipedia.org/wiki/Europa_Europa
The Everlasting Secret Family,https://en.wikipedia.org/wiki/The_Everlasting_Secret_Family
Even Cowgirls Get the Blues,https://en.wikipedia.org/wiki/Even_Cowgirls_Get_the_Blues_(film)
The Event,https://en.wikipedia.org/wiki/The_Event_(2003_film)
Everyone,https://en.wikipedia.org/wiki/Everyone_(film)
Everything Relative,https://en.wikipedia.org/wiki/Everything_Relative
Execution of Justice,https://en.wikipedia.org/wiki/Execution_of_Justice
Exotica,https://en.wikipedia.org/wiki/Exotica_(film)
Eyes Wide Open,https://en.wikipedia.org/wiki/Eyes_Wide_Open_(2009_film)
F. est un salaud,https://en.wikipedia.org/wiki/F._est_un_salaud
Fabulous! The Story of Queer Cinema,NA
Facing Windows,https://en.wikipedia.org/wiki/Facing_Windows
Fagbug,https://en.wikipedia.org/wiki/Fagbug
Fag Hag,https://en.wikipedia.org/wiki/Fag_Hag_(film)
Fair Haven,https://en.wikipedia.org/wiki/Fair_Haven_(2016_film)
Fake,https://en.wikipedia.org/wiki/Fake_(manga)#Anime
Fake ID,https://en.wikipedia.org/wiki/Fake_ID_(film)
Fall Away,NA
The Fall of '55,https://en.wikipedia.org/wiki/The_Fall_of_%2755
The Falls,NA
The Falls: Testament of Love,NA
Fame,https://en.wikipedia.org/wiki/Fame_(1980_film)
Family Affair,NA
A Family Affair,https://en.wikipedia.org/wiki/A_Family_Affair_(2001_film)
Family Album,https://en.wikipedia.org/wiki/Family_Album_(miniseries)
The Family Stone,https://en.wikipedia.org/wiki/The_Family_Stone
Family Tree,https://en.wikipedia.org/wiki/L%27Arbre_et_la_for%C3%AAt
FAQs,https://en.wikipedia.org/wiki/FAQs_(film)
Far from Heaven,https://en.wikipedia.org/wiki/Far_from_Heaven
Far West,NA
Farewell My Concubine,https://en.wikipedia.org/wiki/Farewell_My_Concubine_(film)
"Farewell, My Queen","https://en.wikipedia.org/wiki/Farewell,_My_Queen"
Fashion Victims,https://en.wikipedia.org/wiki/Fashion_Victims
"Fast Trip, Long Drop",NA
Fat Girls,NA
Fatherhood Dreams,NA
Father Knows...,https://en.wikipedia.org/wiki/Father_Knows..._(film)
The Feast of Stephen,NA
"Feeding Boys, Ayaya",NA
Fellini Satyricon,https://en.wikipedia.org/wiki/Fellini_Satyricon
Female Cats,https://en.wikipedia.org/wiki/Female_Cats_(film)
Female Trouble,https://en.wikipedia.org/wiki/Female_Trouble
Ferkel,NA
A Ferret Called Mickey,https://en.wikipedia.org/wiki/A_Ferret_Called_Mickey
Fighting Tommy Riley,https://en.wikipedia.org/wiki/Fighting_Tommy_Riley
Final Exams,NA
Finding Me,https://en.wikipedia.org/wiki/Finding_Me
Finding Me: Truth,https://en.wikipedia.org/wiki/Finding_Me:_Truth
Finding Mr. Wright,NA
Finding North,https://en.wikipedia.org/wiki/Finding_North
Fine Dead Girls,https://en.wikipedia.org/wiki/Fine_Dead_Girls
Fingersmith,https://en.wikipedia.org/wiki/Fingersmith_(TV_serial)
Fire,https://en.wikipedia.org/wiki/Fire_(1996_film)
The Fire That Burns,https://en.wikipedia.org/wiki/La_Ville_dont_le_prince_est_un_enfant_(film)
Fireworks,https://en.wikipedia.org/wiki/Fireworks_(1947_film)
First Girl I Loved,https://en.wikipedia.org/wiki/First_Girl_I_Loved
First Love,NA
Fish and Elephant,https://en.wikipedia.org/wiki/Fish_and_Elephant
Fish Can't Fly,NA
FIT,NA
Five Senses of Eros,https://en.wikipedia.org/wiki/Five_Senses_of_Eros
Fixing Frank,NA
Flaming Ears,NA
The Flavor of Corn,https://en.wikipedia.org/wiki/The_Flavor_of_Corn
Flawless,https://en.wikipedia.org/wiki/Flawless_(1999_film)
Fleeing by Night,NA
Flesh,https://en.wikipedia.org/wiki/Flesh_(1968_film)
Flight of the Cardinal,NA
Flirt,https://en.wikipedia.org/wiki/Flirt_(1995_film)
Flirting with Anthony,https://en.wikipedia.org/wiki/Flirting_with_Anthony
Floating,https://en.wikipedia.org/wiki/Floating_(film)
Floating Skyscrapers,https://en.wikipedia.org/wiki/Floating_Skyscrapers
Flores Raras,https://en.wikipedia.org/wiki/Reaching_for_the_Moon_(2013_film)
A Florida Enchantment,https://en.wikipedia.org/wiki/A_Florida_Enchantment
Flow,NA
Flower and Snake 3,https://en.wikipedia.org/wiki/Flower_and_Snake
The Fluffer,https://en.wikipedia.org/wiki/The_Fluffer
Flying with One Wing,NA
Fögi Is a Bastard,https://en.wikipedia.org/wiki/F._est_un_salaud
Folle d'elle,NA
Follow Me,NA
Followers,NA
Food of Love,https://en.wikipedia.org/wiki/Food_of_Love_(2002_film)
For a Lost Soldier,https://en.wikipedia.org/wiki/For_a_Lost_Soldier
For Dorian,NA
For the Bible Tells Me So,https://en.wikipedia.org/wiki/For_the_Bible_Tells_Me_So
Forbidden Fruit,https://en.wikipedia.org/wiki/Forbidden_Fruit_(2000_film)
Forbidden Love: The Unashamed Stories of Lesbian Lives,https://en.wikipedia.org/wiki/Forbidden_Love:_The_Unashamed_Stories_of_Lesbian_Lives
Forever Fever,https://en.wikipedia.org/wiki/Forever_Fever
Forgive and Forget,https://en.wikipedia.org/wiki/Forgive_and_Forget_(2000_film)
Formula 17,https://en.wikipedia.org/wiki/Formula_17
Fortune and Men's Eyes,https://en.wikipedia.org/wiki/Fortune_and_Men%27s_Eyes
Fotostar,NA
A Four Letter Word,NA
Four Moons,https://en.wikipedia.org/wiki/Four_Moons
Four More Years,NA
Four Weddings and a Funeral,https://en.wikipedia.org/wiki/Four_Weddings_and_a_Funeral
Four Windows,NA
The Four-Faced Liar,https://en.wikipedia.org/wiki/The_Four-Faced_Liar
The Fourth Man,https://en.wikipedia.org/wiki/The_Fourth_Man_(1983_film)
The Fox,https://en.wikipedia.org/wiki/The_Fox_(1967_film)
Fox and His Friends,https://en.wikipedia.org/wiki/Fox_and_His_Friends
Foxcatcher,https://en.wikipedia.org/wiki/Foxcatcher
Framed Youth: The Revenge of the Teenage Perverts,https://en.wikipedia.org/wiki/Framed_Youth:_The_Revenge_of_the_Teenage_Perverts
Frank's Cock,https://en.wikipedia.org/wiki/Frank%27s_Cock
Franswa Sharl,NA
Free Fall,https://en.wikipedia.org/wiki/Free_Fall_(2013_film)
Freebie and the Bean,https://en.wikipedia.org/wiki/Freebie_and_the_Bean
Freeheld,https://en.wikipedia.org/wiki/Freeheld
French Dressing,NA
French Twist,https://en.wikipedia.org/wiki/French_Twist_(film)
Fremde Haut,https://en.wikipedia.org/wiki/Fremde_Haut
Fresa y Chocolate,https://en.wikipedia.org/wiki/Strawberry_and_Chocolate
Frida,https://en.wikipedia.org/wiki/Frida
Fried Green Tomatoes,https://en.wikipedia.org/wiki/Fried_Green_Tomatoes_(film)
A Friend of Dorothy,NA
Friends & Family,https://en.wikipedia.org/wiki/Friends_%26_Family
Friends Forever,https://en.wikipedia.org/wiki/Venner_for_altid
Frisk,https://en.wikipedia.org/wiki/Frisk_(film)
From Afar,https://en.wikipedia.org/wiki/From_Afar_(film)
From Beginning to End,https://en.wikipedia.org/wiki/From_Beginning_to_End
From the Edge of the City,https://en.wikipedia.org/wiki/From_the_Edge_of_the_City
A Frozen Flower,https://en.wikipedia.org/wiki/A_Frozen_Flower
Fruit Fly,https://en.wikipedia.org/wiki/Fruit_Fly_(film)
The Fruit Machine,https://en.wikipedia.org/wiki/The_Fruit_Machine
Fucking Åmål,https://en.wikipedia.org/wiki/Show_Me_Love_(film)
Fuera de carta,https://en.wikipedia.org/wiki/Chef%27s_Special
Full Blast,https://en.wikipedia.org/wiki/Full_Blast_(1999_film)
The Full Monty,https://en.wikipedia.org/wiki/The_Full_Monty
Full Speed,https://en.wikipedia.org/wiki/Full_Speed_(1996_film)
Fun Down There,https://en.wikipedia.org/wiki/Fun_Down_There
Funeral Parade of Roses,https://en.wikipedia.org/wiki/Funeral_Parade_of_Roses
Funkytown,https://en.wikipedia.org/wiki/Funkytown_(film)
Further Off the Straight and Narrow,NA
Futuro Beach,https://en.wikipedia.org/wiki/Futuro_Beach
Futures (and Derivatives),NA
Fyra år till,NA
G O'Clock,NA
Gaming In Color,https://en.wikipedia.org/wiki/Gaming_In_Color
Garçon stupide,https://en.wikipedia.org/wiki/Gar%C3%A7on_stupide
The Garden,https://en.wikipedia.org/wiki/The_Garden_(1990_film)
Garden (Gan),NA
Gates to Paradise,https://en.wikipedia.org/wiki/Gates_to_Paradise_(film)
Yugoslavia,https://en.wikipedia.org/wiki/Socialist_Federal_Republic_of_Yugoslavia
Gaudi Afternoon,https://en.wikipedia.org/wiki/Gaudi_Afternoon
G.B.F.,https://en.wikipedia.org/wiki/G.B.F.
Gay Days,https://en.wikipedia.org/wiki/Gay_Days_(film)
The Gay Deceivers,https://en.wikipedia.org/wiki/The_Gay_Deceivers
The Gay Marriage Thing,https://en.wikipedia.org/wiki/The_Gay_Marriage_Thing
Gay Sex in the 70s,https://en.wikipedia.org/wiki/Gay_Sex_in_the_70s
Gay USA,https://en.wikipedia.org/wiki/Gay_USA_(film)
Gay Zombie,NA
Gayby,https://en.wikipedia.org/wiki/Gayby
Gayby Baby,https://en.wikipedia.org/wiki/Gayby_Baby
Gaydar,https://en.wikipedia.org/wiki/Gaydar_(film)
Gayniggers from Outer Space,https://en.wikipedia.org/wiki/Gayniggers_from_Outer_Space
Gaze,NA
Gazon maudit,https://en.wikipedia.org/wiki/Gazon_maudit
"Gece, Melek ve Bizim Çocuklar",NA
Gendernauts,https://en.wikipedia.org/wiki/Gendernauts
Geography Club,https://en.wikipedia.org/wiki/Geography_Club_(film)
Georgie Girl,NA
Gerontophilia,https://en.wikipedia.org/wiki/Gerontophilia_(film)
Geschlecht in Fesseln – Die Sexualnot der Gefangenen,https://en.wikipedia.org/wiki/Sex_in_Chains
Gesetze der Liebe,NA
Get a Life,NA
Get Real,https://en.wikipedia.org/wiki/Get_Real_(film)
Get Your Stuff,https://en.wikipedia.org/wiki/Get_Your_Stuff
Ghost Station,https://en.wikipedia.org/wiki/Ghost_Station_(film)
Gia,https://en.wikipedia.org/wiki/Gia
